NOME;DT_REG;DT_CANCEL;MOTIVO_CANCEL;SIT;DT_INI_SIT
VÍTOR SAVAGNAGO;2019-06-06;2020-03-19;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-20
VITOR SOUSA RAMOS;2022-06-13;;;EM FUNCIONAMENTO NORMAL;2022-06-13
VITOR STAMPFER TONOSSU;2022-05-13;;;EM FUNCIONAMENTO NORMAL;2022-05-13
VITOR STRAATMANN;2019-05-20;2022-01-10;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-11
VITOR TADEU TUPINAMBÁ PEIXEIRO;2021-05-05;;;EM FUNCIONAMENTO NORMAL;2021-05-05
VITOR TAHA ZOLDAN;2020-03-16;;;EM FUNCIONAMENTO NORMAL;2020-03-16
VITOR TAKANORI TSURUMAKI;2011-04-27;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VITOR TEIXEIRA GONÇALVES;2021-04-28;;;EM FUNCIONAMENTO NORMAL;2021-04-28
VITOR TREVIZANI NITSCHE;2020-03-12;;;EM FUNCIONAMENTO NORMAL;2020-03-12
VÍTOR UMBELINO PASSOS;2021-07-13;;;EM FUNCIONAMENTO NORMAL;2021-07-13
VITOR VALSECHI SEBASTIÃO;2020-07-02;;;EM FUNCIONAMENTO NORMAL;2020-07-02
VITOR VELOSO DE ALMEIDA;2020-08-12;2022-03-25;CANCELAMENTO A PEDIDO;CANCELADA;2022-03-26
VITOR VENDRAME LECHADO;2022-01-13;;;EM FUNCIONAMENTO NORMAL;2022-01-13
VITOR VICENTE DUARTE FILHO;2011-12-05;2012-08-01;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-01
VITOR VIEIRA;2021-04-01;;;EM FUNCIONAMENTO NORMAL;2021-04-01
VITOR VIEIRA DA SILVA;2010-08-18;2012-08-13;CANCELAMENTO A PEDIDO;CANCELADA;2012-08-13
VITOR VIEIRA SILVA;2020-06-22;2020-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-01
VITOR VIGA DA SILVA;2019-09-20;;;EM FUNCIONAMENTO NORMAL;2019-09-20
VITOR VISENTAINER MOLINA;2020-10-20;;;EM FUNCIONAMENTO NORMAL;2020-10-20
VITOR YUAN SANTOS;2021-01-08;;;EM FUNCIONAMENTO NORMAL;2021-01-08
VITOR ZACHARIAS VAZ DOS SANTOS;2019-07-23;;;EM FUNCIONAMENTO NORMAL;2019-07-23
VITÓRIA AGUIAR ZANINI;2021-08-24;2022-02-21;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-22
VITÓRIA ALVES SILVA;2022-03-21;;;EM FUNCIONAMENTO NORMAL;2022-03-21
VITÓRIA CAROLINE CORDEIRO DE BRITO;2021-07-07;;;EM FUNCIONAMENTO NORMAL;2021-07-07
VITORIA CARVALHO FRANCO DA ROSA;2019-06-10;2020-11-06;CANCELAMENTO A PEDIDO;CANCELADA;2020-11-07
VITÓRIA DE CÁSSIA CRISPIM;2021-11-12;;;EM FUNCIONAMENTO NORMAL;2021-11-12
VITÓRIA DE CASTRO VIDOR;2022-04-29;;;EM FUNCIONAMENTO NORMAL;2022-04-29
VITÓRIA DE SOUZA FIRMINO;2022-01-28;;;EM FUNCIONAMENTO NORMAL;2022-01-28
VITORIA FACCO LUFIEGO;2021-04-01;;;EM FUNCIONAMENTO NORMAL;2021-04-01
VITÓRIA GAUDENCIO DE ALMEIDA;2022-05-09;;;EM FUNCIONAMENTO NORMAL;2022-05-09
VITÓRIA LETTIERI WELTER;2022-02-23;;;EM FUNCIONAMENTO NORMAL;2022-02-23
VITÓRIA LOPES COUTINHO;2021-07-20;;;EM FUNCIONAMENTO NORMAL;2021-07-20
VITORIA LUISA MENDONÇA SOUZA;2020-08-06;;;EM FUNCIONAMENTO NORMAL;2020-08-06
VITÓRIA MARIA BETTIN DA SILVA;2018-10-23;;;EM FUNCIONAMENTO NORMAL;2018-10-23
VITORIA PISARSKI VIEGAS;2022-06-07;;;EM FUNCIONAMENTO NORMAL;2022-06-07
VITORIA REGIA MEDEIROS FERNANDES AZARIAN;2004-02-09;2016-12-16;CANCELAMENTO A PEDIDO;CANCELADA;2016-12-17
VITORIA REGIA VALADARES;2022-04-11;;;EM FUNCIONAMENTO NORMAL;2022-04-11
VITÓRIA RODRIGUES DE OLIVEIRA;2020-03-09;2021-12-22;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-23
VITORIA SOUZA LEITE;2022-06-15;;;EM FUNCIONAMENTO NORMAL;2022-06-15
VITÓRIA VARELA;2019-10-23;;;EM FUNCIONAMENTO NORMAL;2019-10-23
VITÓRIA VILLAS BOAS SIMONCINI CARMANINI;2022-03-29;;;EM FUNCIONAMENTO NORMAL;2022-03-29
VITORIA ZANATA BARBOSA;2018-01-26;2018-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2018-10-01
VITTOR DE SOUZA LIRA;2017-06-12;;;EM FUNCIONAMENTO NORMAL;2017-06-12
VIVALDO DE ANDRADE JUNIOR;2007-07-11;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VIVIAN ANTUNES FELIPE;2021-07-20;;;EM FUNCIONAMENTO NORMAL;2021-07-20
VIVIAN BAMBERG CORASSINI;2019-10-11;;;EM FUNCIONAMENTO NORMAL;2019-10-11
VÍVIAN BARJA FIDALGO SILVA DE ANDRADE;2009-07-01;2011-06-30;CANCELAMENTO A PEDIDO;CANCELADA;2011-06-30
VIVIAN BUSCH;2022-06-03;;;EM FUNCIONAMENTO NORMAL;2022-06-03
VIVIAN DE MATTOS PIRES FERNANDES;2019-07-26;2020-02-29;CANCELAMENTO A PEDIDO;CANCELADA;2020-03-01
VIVIAN GIMENEZ FERRAZ;2021-01-04;2021-03-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-03-31
VIVIAN GONÇALVES PINHEIRO;2019-01-18;;;EM FUNCIONAMENTO NORMAL;2019-01-18
VIVIAN JAQUELINE SCHEIBE;2022-01-07;;;EM FUNCIONAMENTO NORMAL;2022-01-07
VIVIANE APARECIDA NEVES BENEDITO;2022-01-10;;;EM FUNCIONAMENTO NORMAL;2022-01-10
VIVIANE APARECIDA RODRIGUES AFONSO;2004-12-09;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VIVIANE BRANDÃO MATOS;2011-01-18;2017-02-09;CANCELAMENTO A PEDIDO;CANCELADA;2017-02-10
VIVIANE BRANDÃO MATOS;2021-04-01;;;EM FUNCIONAMENTO NORMAL;2021-04-01
VIVIANE CARRARA PEREIRA;2020-11-05;;;EM FUNCIONAMENTO NORMAL;2020-11-05
VIVIANE CRISTINA BOMBARDA FABBRI;2021-05-28;;;EM FUNCIONAMENTO NORMAL;2021-05-28
VIVIANE CRISTINA JULIANETI BRAGA;2022-06-23;;;EM FUNCIONAMENTO NORMAL;2022-06-23
VIVIANE DA SILVA SARTO;2022-02-16;;;EM FUNCIONAMENTO NORMAL;2022-02-16
VIVIANE DA SILVEIRA FUCKS DOS SANTOS;2021-07-13;2021-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2022-01-01
VIVIANE DE CARVALHO DIAS;2021-07-13;;;EM FUNCIONAMENTO NORMAL;2021-07-13
VIVIANE DE MENDONÇA OMENA;2020-01-23;2020-12-01;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-02
VIVIANE DE OLIVEIRA;2013-07-22;;;EM FUNCIONAMENTO NORMAL;2013-07-22
VIVIANE FARAH FERREIRA;2007-08-09;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VIVIANE FERNANDES COSTA;2019-08-26;;;EM FUNCIONAMENTO NORMAL;2019-08-26
VIVIANE FERNANDES DO CARMO LAS CASAS;2020-03-04;;;EM FUNCIONAMENTO NORMAL;2020-03-04
VIVIANE FERREIRA ABREU;2021-11-03;;;EM FUNCIONAMENTO NORMAL;2021-11-03
VIVIANE FERREIRA DA SILVA;2020-10-16;;;EM FUNCIONAMENTO NORMAL;2020-10-16
VIVIANE FERREIRA TAMER;2022-03-18;;;EM FUNCIONAMENTO NORMAL;2022-03-18
VIVIANE GIACOMELLI BUSSOLOTTO;2022-06-29;;;EM FUNCIONAMENTO NORMAL;2022-06-29
VIVIANE GUIMARÃES DE OLIVEIRA;2019-07-15;;;EM FUNCIONAMENTO NORMAL;2019-07-15
VIVIANE KETTERMANN PAES;2019-08-01;;;EM FUNCIONAMENTO NORMAL;2019-08-01
VIVIANE KLEIN;2020-06-09;;;EM FUNCIONAMENTO NORMAL;2020-06-09
VIVIANE LIMA DA FONSECA;2022-02-16;;;EM FUNCIONAMENTO NORMAL;2022-02-16
VIVIANE MARGIOTA;2021-08-30;;;EM FUNCIONAMENTO NORMAL;2021-08-30
VIVIANE MARTINS MACHADO REBORDOES;2013-08-09;;;EM FUNCIONAMENTO NORMAL;2013-08-09
VIVIANE MENDONÇA RIBEIRO DE CARVALHO;2022-03-25;;;EM FUNCIONAMENTO NORMAL;2022-03-25
VIVIANE NEVES OLEGARIO;2021-01-29;;;EM FUNCIONAMENTO NORMAL;2021-01-29
VIVIANE NORONHA ALCANTARA;2013-06-21;2015-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2016-01-01
VIVIANE PEREIRA CASCAES;2011-08-10;2012-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-29
VIVIANE PIACENTINI;2019-10-01;;;EM FUNCIONAMENTO NORMAL;2019-10-01
VIVIANE PINTO CAVALCANTI RIBEIRO;2010-09-08;2019-02-07;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-08
VIVIANE RODRIGUES QUITES ARAUJO;2021-04-07;;;EM FUNCIONAMENTO NORMAL;2021-04-07
VIVIANE SAKAMAE STIVANELLO;2012-02-29;2012-03-30;CANCELAMENTO A PEDIDO;CANCELADA;2012-03-30
VIVIANE SAMPAIO BORGO;2018-04-03;;;SUSPENSO(A) - A PEDIDO;2022-01-01
VIVIANE SANTOS MONTANARO FELIPPE;2020-07-03;;;EM FUNCIONAMENTO NORMAL;2020-07-03
VIVIANE SPINOLA GOMES;2021-05-18;;;EM FUNCIONAMENTO NORMAL;2021-05-18
VIVIANE VEIGA;2009-08-26;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VIVIANE VOGEL DE SOUZA;2007-07-11;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VIVIANI BARRIONUEVO GARCIA;2017-10-02;;;EM FUNCIONAMENTO NORMAL;2017-10-02
VIVIANI QUEIROZ CABRAL COSTA;2021-08-06;;;EM FUNCIONAMENTO NORMAL;2021-08-06
VIVIANNE DE LUCCA SOAVE;2020-10-21;2020-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-01
VLADEMIR SAROLI JUNIOR;2020-07-28;;;EM FUNCIONAMENTO NORMAL;2020-07-28
VLADIMIR ALVES DA SILVA;2003-04-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VLADIMIR ANDRÉ PEDRO;2002-11-29;2022-08-02;CANCELAMENTO A PEDIDO;CANCELADA;2022-08-03
VLADIMIR DA SILVA PRADOS;2012-04-25;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VLADIMIR DE FIGUEIREDO;2003-09-15;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
VLADIMIR NASCIMENTO SANTOS;2019-05-08;;;EM FUNCIONAMENTO NORMAL;2019-05-08
VLADIMIR PIRES MARTINS FILHO;2017-10-04;;;EM FUNCIONAMENTO NORMAL;2017-10-04
VOALIDICE GREGORIO FAGANELLO JUNIOR;2020-01-15;;;EM FUNCIONAMENTO NORMAL;2020-01-15
VOLMAR BIANCHI;2020-10-09;2020-12-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-01-01
VOLNEI AVILSON SOETHE;2009-07-21;2012-09-28;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-28
VOLNEI DE ARAUJO GOMES;2022-02-02;;;EM FUNCIONAMENTO NORMAL;2022-02-02
VOLNEI LUIZ KURTZ;2009-10-07;;;EM FUNCIONAMENTO NORMAL;2009-10-07
VOLNEI SERAFIM JUNIOR;2022-01-12;;;EM FUNCIONAMENTO NORMAL;2022-01-12
VYCTOR FIALHO NACARATI TAVARES;2018-04-03;;;EM FUNCIONAMENTO NORMAL;2018-04-03
WAGLER SOUZA VIEIRA;2009-03-03;2012-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-30
WAGNER ALEX LUIZ;2021-04-29;;;EM FUNCIONAMENTO NORMAL;2021-04-29
WAGNER ALVES DE ANDRADE;2010-01-07;;;EM FUNCIONAMENTO NORMAL;2010-01-07
WAGNER ANDRADE ALVES DOS SANTOS;2009-05-07;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WAGNER ASSUNCAO TAVARES FILHO;2009-12-08;2013-02-15;CANCELAMENTO A PEDIDO;CANCELADA;2013-02-15
WAGNER ATOGUIA LIMA;2009-09-21;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WAGNER ATOGUIA LIMA;2021-07-29;;;EM FUNCIONAMENTO NORMAL;2021-07-29
WAGNER AUGUSTO PIRES;2007-03-08;;;EM FUNCIONAMENTO NORMAL;2007-03-08
WAGNER BARBOSA MAGALHÃES;2009-06-16;2016-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-30
WAGNER BATISTA DE ARAUJO;2011-08-18;2017-12-28;CANCELAMENTO A PEDIDO;CANCELADA;2017-12-29
WAGNER BENEVENUTO SOLDATI BORGES DE ANDRADE;2019-01-24;;;EM FUNCIONAMENTO NORMAL;2019-01-24
WAGNER BORBA MULLER;2019-01-16;2019-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2019-04-01
WAGNER CAETANO DE SOUZA;2008-07-07;2018-01-22;CANCELAMENTO A PEDIDO;CANCELADA;2018-01-23
WAGNER CANTISANI;2018-04-26;2021-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2021-04-01
WAGNER CARDOSO DOS REIS;2021-04-07;;;EM FUNCIONAMENTO NORMAL;2021-04-07
WAGNER CONVERSANI;2018-01-30;;;EM FUNCIONAMENTO NORMAL;2018-01-30
WAGNER DANTAS DE SOUZA;2006-02-09;2009-03-11;CANCELAMENTO A PEDIDO;CANCELADA;2009-03-11
WAGNER DANTAS DE SOUZA;2011-03-02;2011-12-30;CANCELAMENTO A PEDIDO;CANCELADA;2011-12-30
WAGNER DE AGUIAR MORAES;2010-01-05;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WAGNER DE LEO PAEZ;2003-04-02;2009-03-31;CANCELAMENTO A PEDIDO;CANCELADA;2009-03-31
WAGNER DE LIMA MONTELERO;2002-04-26;;;EM FUNCIONAMENTO NORMAL;2002-04-26
WAGNER DE QUEIROZ MARINHO FILHO;2022-06-23;;;EM FUNCIONAMENTO NORMAL;2022-06-23
WAGNER DEZEMBRO;2008-04-25;;;EM FUNCIONAMENTO NORMAL;2008-04-25
WAGNER DONIZETI RODRIGUES;2003-10-29;2016-09-21;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-22
WAGNER DOS SANTOS HENKLAIN RONCHI;2018-10-23;;;EM FUNCIONAMENTO NORMAL;2018-10-23
WAGNER DRUMOND;2013-11-11;;;EM FUNCIONAMENTO NORMAL;2013-11-11
WAGNER EDINALDO MENDES;2019-07-02;;;EM FUNCIONAMENTO NORMAL;2019-07-02
WAGNER FERREIRA BARBOZA;2020-11-18;;;EM FUNCIONAMENTO NORMAL;2020-11-18
WAGNER FERREIRA GARCIA;2006-06-08;;;EM FUNCIONAMENTO NORMAL;2015-07-01
WAGNER GEREMIA;2021-10-14;2022-04-25;CANCELAMENTO A PEDIDO;CANCELADA;2022-04-26
WAGNER GOMES DOS SANTOS;2021-07-02;;;EM FUNCIONAMENTO NORMAL;2021-07-02
WAGNER HENRIQUE DA SILVA;2002-04-24;2006-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2006-09-29
WAGNER IMPERATORE NOGUEIRA;2003-01-22;2014-09-30;;CANCELADA;2014-09-30
WAGNER JOSÉ  DUARTE;2002-04-11;2002-11-05;CANCELAMENTO A PEDIDO;CANCELADA;2002-11-05
WAGNER JOSÉ RESENDE;2012-07-03;2012-12-27;CANCELAMENTO A PEDIDO;CANCELADA;2012-12-27
WAGNER LEON VAREJÃO;2018-04-02;;;EM FUNCIONAMENTO NORMAL;2018-04-02
WAGNER LISBOA GORGULHO;2021-01-27;;;EM FUNCIONAMENTO NORMAL;2021-01-27
WAGNER LOPES GUEDES;2021-03-10;;;EM FUNCIONAMENTO NORMAL;2021-03-10
WAGNER LÚCIO DA SILVA;2007-01-24;;;EM FUNCIONAMENTO NORMAL;2007-01-24
WAGNER LUIZ DE FIGUEIREDO;2020-08-26;2021-03-24;CANCELAMENTO A PEDIDO;CANCELADA;2021-03-25
WAGNER LUIZ DE FIGUEIREDO;2022-01-14;;;EM FUNCIONAMENTO NORMAL;2022-01-14
WAGNER MARQUES VIEIRA;2007-06-13;;;EM FUNCIONAMENTO NORMAL;2007-06-13
WAGNER MARTINS;2003-02-10;2010-02-10;CANCELAMENTO A PEDIDO;CANCELADA;2010-02-10
WAGNER MAURICIO SARI;2011-03-02;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WAGNER MENDES MOREIRA;2018-07-02;;;EM FUNCIONAMENTO NORMAL;2018-07-02
WAGNER MENDONÇA COSTA;2020-02-27;;;EM FUNCIONAMENTO NORMAL;2020-02-27
WAGNER NAKAYAMA BORGES;2011-08-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WAGNER NUNES DA SILVA JUNIOR;2015-08-04;;;EM FUNCIONAMENTO NORMAL;2015-08-04
WAGNER OKADA;2021-07-08;;;EM FUNCIONAMENTO NORMAL;2021-07-08
WAGNER PALMA;2015-03-12;;;EM FUNCIONAMENTO NORMAL;2015-03-12
WAGNER PEREIRA ESTEVES;2009-08-10;2016-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-01
WAGNER PERES;2011-03-18;2012-06-29;CANCELAMENTO A PEDIDO;CANCELADA;2012-06-29
WAGNER POLETO;2018-11-28;2020-10-30;CANCELAMENTO A PEDIDO;CANCELADA;2020-10-31
WAGNER REIS SCORPIONI;2008-08-27;2012-07-27;CANCELAMENTO A PEDIDO;CANCELADA;2012-07-27
WAGNER REQUENA MENDES JUNIOR;2021-02-09;;;EM FUNCIONAMENTO NORMAL;2021-02-09
WAGNER RICARDO SOARES DE SA;2019-11-05;;;EM FUNCIONAMENTO NORMAL;2019-11-05
WAGNER ROBERT KRONBAUER;2018-03-22;;;EM FUNCIONAMENTO NORMAL;2018-03-22
WAGNER ROGERIO DE LIMA;2020-05-05;;;EM FUNCIONAMENTO NORMAL;2020-05-05
WAGNER ROLIM GOES;2007-12-07;2019-01-31;CANCELAMENTO A PEDIDO;CANCELADA;2019-02-01
WAGNER ROSA DA SILVA;2010-04-28;2014-11-05;CANCELAMENTO A PEDIDO;CANCELADA;2014-11-05
WAGNER RUBIRA ASSIS;2002-04-19;2013-04-23;CANCELAMENTO A PEDIDO;CANCELADA;2013-04-23
WAGNER RUSSO DE ALVARENGA COSTA JUNIOR;2020-02-19;2020-12-22;CANCELAMENTO A PEDIDO;CANCELADA;2020-12-23
WAGNER RUSSO DE ALVARENGA COSTA JUNIOR;2022-01-19;;;EM FUNCIONAMENTO NORMAL;2022-01-19
WAGNER SALES COSTA;2014-02-06;2020-02-12;CANCELAMENTO A PEDIDO;CANCELADA;2020-02-13
WAGNER SOARES DE ANDRADE;2022-04-27;;;EM FUNCIONAMENTO NORMAL;2022-04-27
WAGNER SOARES DE ANDRADE;2002-10-14;2004-08-10;CANCELAMENTO A PEDIDO;CANCELADA;2004-08-10
WAGNER SOARES DE ANDRADE;2006-03-10;2016-07-25;CANCELAMENTO A PEDIDO;CANCELADA;2016-07-26
WAGNER SOARES MEREGALLI;2018-10-09;2019-09-03;CANCELAMENTO A PEDIDO;CANCELADA;2019-09-04
WAGNER SOLLA;2019-06-13;;;EM FUNCIONAMENTO NORMAL;2019-06-13
WAGNER SOUZA PEREIRA;2020-08-28;;;EM FUNCIONAMENTO NORMAL;2020-08-28
WAGNER STEPHAN VICENZI;2017-08-10;;;EM FUNCIONAMENTO NORMAL;2017-08-10
WAGNER TADEU PEREIRA DA SILVA;2019-09-04;;;EM FUNCIONAMENTO NORMAL;2019-09-04
WAGNER TIERI;2007-07-04;2016-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2016-10-01
WAGNER TORRES DA SILVA;2010-03-04;2015-01-26;CANCELAMENTO A PEDIDO;CANCELADA;2015-01-26
WAGNER TORRES DA SILVA;2019-11-08;2020-02-10;CANCELAMENTO A PEDIDO;CANCELADA;2020-02-11
WAGNER UVA DOS REIS GONÇALVES;2017-11-17;2018-06-20;CANCELAMENTO A PEDIDO;CANCELADA;2018-06-21
WAGNER WILLIAM GONÇALVES;2021-05-05;;;EM FUNCIONAMENTO NORMAL;2021-05-05
WAGNO DE OLIVEIRA;2011-05-25;;;EM FUNCIONAMENTO NORMAL;2011-05-25
WAINER MUIÑOS LOPES FILHO;2020-03-02;;;EM FUNCIONAMENTO NORMAL;2020-03-02
WALACE GARCIA PIOVEZAN;2013-11-11;2015-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2015-09-30
WALACE SILVA DE SOUZA;2022-08-04;;;EM FUNCIONAMENTO NORMAL;2022-08-04
WALACE VIDAL CABRAL;2019-08-29;2021-11-30;CANCELAMENTO A PEDIDO;CANCELADA;2021-12-01
WALDEMAR MONTENEGRO NETO;2020-08-13;2022-02-14;CANCELAMENTO A PEDIDO;CANCELADA;2022-02-15
WALDEMAR PIRES DE SANTANA JUNIOR;2020-09-09;2021-09-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-30
WALDEMAR SILVA BRITO FILHO;2011-12-05;2012-09-20;CANCELAMENTO A PEDIDO;CANCELADA;2012-09-20
WALDENIO PESSOA SILVA;2016-11-10;;;EM FUNCIONAMENTO NORMAL;2016-11-10
WALDIR ALVES TEIXEIRA;2002-01-22;;;EM FUNCIONAMENTO NORMAL;2002-01-22
WALDIR ANTONIO DOS SANTOS;2008-07-17;2017-09-22;CANCELAMENTO A PEDIDO;CANCELADA;2017-09-23
WALDIR FERNANDO FERREIRA MORGADO;2020-01-08;;;EM FUNCIONAMENTO NORMAL;2020-01-08
WALDIR JOSE DE OLIVEIRA JUNIOR;2004-04-08;2008-01-07;CANCELAMENTO A PEDIDO;CANCELADA;2008-01-07
WALDIR KIEL JUNIOR;2005-07-01;;;SUSPENSO(A) - A PEDIDO;2021-11-26
WALDIR LUÍS CREMA;2007-01-10;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WALDIR LUIZ CORREA;2008-01-11;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WALDIR MINORO KAMADA;2001-10-16;2010-05-31;CANCELAMENTO A PEDIDO;CANCELADA;2010-05-31
WALDIR PASCOALINO DE CAMARGO JUNIOR;2007-05-15;2017-10-23;CANCELAMENTO A PEDIDO;CANCELADA;2017-10-24
WALDIR RODRIGUES ALVES;2010-07-09;2021-03-29;CANCELAMENTO A PEDIDO;CANCELADA;2021-03-30
WALDIR SIMAS NETO;2022-04-07;;;EM FUNCIONAMENTO NORMAL;2022-04-07
WALDIR VICENTE DO PRADO;2004-01-08;2013-09-30;CANCELAMENTO DE OFÍCIO - NÃO RECADASTRAMENTO ANCORD - INSTR. CVM Nº 497/2011;CANCELADA;2013-09-30
WALDNEY BRUNO LIMA DE ARAÚJO;2020-04-16;;;EM FUNCIONAMENTO NORMAL;2020-04-16
WALDNEY TRINDADE NERY;2012-01-10;2016-09-20;CANCELAMENTO A PEDIDO;CANCELADA;2016-09-21
WALDY OLIVEIRA FILHO;2018-10-31;;;EM FUNCIONAMENTO NORMAL;2018-10-31
WALDYR FIGUEIREDO VIDAL JUNIOR;2002-08-29;2013-01-28;CANCELAMENTO A PEDIDO;CANCELADA;2013-01-28
WALDYR SILVA ALLEGRETTI;2014-09-15;;;EM FUNCIONAMENTO NORMAL;2014-09-15
WALESCA BRENDA DE LIMA DUTRA;2021-12-02;;;EM FUNCIONAMENTO NORMAL;2021-12-02
WALFREDO ANTUNES MACHADO JUNIOR;2010-09-15;2018-03-29;CANCELAMENTO A PEDIDO;CANCELADA;2018-03-30
WALFRID PAULO EMANUEL ARACRI MENDONÇA;2022-05-12;;;EM FUNCIONAMENTO NORMAL;2022-05-12
WALGME MOURA SILVA;2020-10-23;2021-09-09;CANCELAMENTO A PEDIDO;CANCELADA;2021-09-10
WALISSON CESAR PRATA DE AQUINO;2007-07-20;2007-12-04;CANCELAMENTO A PEDIDO;CANCELADA;2007-12-04
WALKIRIA APARECIDA CANSANI;2021-08-16;;;EM FUNCIONAMENTO NORMAL;2021-08-16
WALLACE AMARAL BARRETO PEREIRA;2009-12-03;2015-12-18;CANCELAMENTO A PEDIDO;CANCELADA;2015-12-19
WALLACE DA SILVA BARBOSA E SILVA;2019-08-23;2019-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2019-10-01
WALLACE DE OLIVEIRA PINTO;2018-03-12;;;EM FUNCIONAMENTO NORMAL;2018-03-12
WALLACE FLORENTINO DA SILVA;2020-10-09;;;EM FUNCIONAMENTO NORMAL;2020-10-09
WALLACE GABRIEL IACOVINO MURÇA;2021-02-12;;;EM FUNCIONAMENTO NORMAL;2021-02-12
WALLACE IMPROTA ANDRETTA;2015-12-23;;;EM FUNCIONAMENTO NORMAL;2015-12-23
WALLACE JOSÉ TORRES DE OLIVEIRA;2011-10-04;;;EM FUNCIONAMENTO NORMAL;2011-10-04
WALLACE JOSE ZOVICO DE OLIVEIRA;2020-01-16;;;EM FUNCIONAMENTO NORMAL;2020-01-16
WALLACE NUNES DE SOUZA MARINS;2013-09-23;2015-09-30;CANCELAMENTO A PEDIDO;CANCELADA;2015-10-01
WALLACE SILVA MORAIS;2018-06-26;;;EM FUNCIONAMENTO NORMAL;2018-06-26
WALLACE VICTOR CAVOLI DA SILVA;2019-04-04;;;EM FUNCIONAMENTO NORMAL;2019-04-04
WALLACE VINÍCIUS MACHADO GUIMARÃES CHAVES;2021-10-05;;;EM FUNCIONAMENTO NORMAL;2021-10-05
